IRI0,Rainfall,Temperature min,Temperature max,Truck CV,Target IRI
6.63,3217.4,10299,16901,2243,11.42
6.47,3217.4,10299,16901,2243,10.12
5.78,4124.9,10299,16901,1689,10.74
5.85,4124.9,10299,16901,1689,11.25
5.86,4124.9,10299,16901,1689,10.5
5.88,4124.9,10299,16901,1689,10.56
8.22,4124.9,10299,16901,1689,12.44
6.78,4589,10299,16901,1689,11.28
5.59,4589,10299,16901,1689,10.58
5.27,4589,10299,16901,1689,8.59
5.69,4589,10299,16901,1689,8.87
6.01,4589,10299,16901,1689,9.18
5.11,4589,10299,16901,1940,9.3
3.98,4589,10299,16901,1940,9.28
3.77,4589,10299,16901,1940,5.82
4.46,4589,10299,16901,1940,6.14
3.35,4589,10299,16901,1940,4.48
4.15,4589,10299,16901,1940,6.28
4.34,5497.1,10544,16073,1940,7.69
4.54,5497.1,10544,16073,1940,6.24
4.54,5497.1,10544,16073,1940,6.95
3.83,5497.1,10544,16073,1940,5.78
3.91,5497.1,10544,16073,1940,6.22
3.77,4909.9,10544,16073,1940,6.87
4.07,4909.9,10544,16073,1940,6.13
4.25,4909.9,10544,16073,1940,5.99
4.63,4909.9,10544,16073,1940,6.82
4.47,5652.6,10544,16073,1470,7.85
4.92,5652.6,10544,16073,1470,9.12
5.54,5652.6,10544,16073,1470,7.9
4.49,5652.6,10544,16073,1470,6.98
4.39,5652.6,10544,16073,1470,7.2
4.76,5652.6,10544,16073,1470,6.8
4.57,5652.6,10544,16073,1470,7.8
4.09,6006.3,9326,16392,1009,8.3
4.2,6222.6,9326,16392,1009,6.66
5.21,6222.6,9326,16392,1009,6.97
4.95,6222.6,9326,16392,1009,7.4
4.49,6222.6,9326,16392,1009,5.85
3.88,6155.5,9215,15972,1488,6.88
4.25,6155.5,9215,15972,1488,6.65
6.12,6155.5,9215,15972,1488,9.02
8.86,6155.5,9215,15972,646,15.93
10.17,6155.5,9215,15972,646,14.99
10.12,6155.5,9215,15972,646,16.6
8.92,6155.5,9215,15972,646,15.09
9.86,6155.5,9215,15972,646,15.36
11.88,6155.5,9215,15972,646,14.23
9.74,6155.5,9215,15972,646,13.35
9.26,6155.5,9215,15972,646,17.54
9.18,6155.5,9215,15972,646,14.83
11.48,3475.2,8061,14811,646,21.28
10.98,3475.2,8061,14811,646,16.57
12.34,3475.2,8061,14811,646,21.78
10.94,3475.2,8061,14811,646,17.58
10.5,3475.2,8061,14811,646,18.41
9.86,3475.2,8061,14811,646,15.36
10.52,3475.2,8061,14811,646,18.53
10.41,3475.2,8061,14811,646,20.55
10.79,3475.2,8061,14811,646,18.01
10.94,3475.2,8061,14811,646,17.61
9.88,3475.2,8061,14811,646,19.69
10.55,3475.2,8061,14811,646,18.36
9.5,3475.2,8061,14811,646,16.13
10.94,3475.2,8061,14811,646,19.46
10.14,3475.2,8061,14811,646,19.72
10.74,3475.2,8061,14811,646,17.81
10.41,3475.2,8061,14811,646,14.81
6.31,3475.2,8061,14811,11498,11.98
3.93,3475.2,8061,14811,5861,6.13
4.86,3475.2,8061,14811,5861,9.41
3.96,3475.2,8061,14811,5861,6.77
4.36,3475.2,8061,14811,5861,6.17
3.96,3475.2,8061,14811,5861,8.48
4.5,3475.2,8061,14811,5861,7.37
4.25,3475.2,8061,14811,5861,11.59
5.72,3475.2,8061,14811,5861,12.59
6.09,3475.2,8061,14811,5861,12.79
4.65,3992.9,8061,14811,5861,13.21
5,3992.9,8061,14811,5861,8.07
3.93,3992.9,8061,14811,5861,9.07
3.66,3992.9,8061,14811,5861,8.42
4.2,3992.9,8061,14811,5861,8.17
4.04,3992.9,8061,14811,5861,7.21
4.25,3992.9,8061,14811,5861,8.12
4.23,3992.9,8061,14811,5861,5.71
5.03,3992.9,8061,14811,5861,7.07
3.99,3992.9,8061,14811,5861,7.29
4.31,3992.9,8061,14811,5861,5.75
4.52,3992.9,8061,14811,5861,6.98
4.41,3992.9,8061,14811,5861,7.57
3.5,3992.9,8061,14811,5861,6.92
3.88,3992.9,8061,14811,5861,5.9
4.63,4173.7,8061,14811,5861,8.76
4.65,4173.7,8061,14811,5861,7.52
4.14,4173.7,11948,7819,2003,6.65
3.7,4173.7,11948,7819,2003,5.37
4.44,4173.7,11948,7819,2003,6.83
4.07,4173.7,11948,7819,2003,6.99
4.02,4020.9,11948,7819,2003,5.68
4.31,4020.9,11948,7819,2003,5.92
3.78,4020.9,11948,7819,2003,5.53
4.04,4020.9,11948,7819,2003,6.62
3.7,4020.9,11948,7819,2003,5.55
4.65,4020.9,11948,7819,2003,9.93
4.97,4020.9,11948,7819,2003,8.35
4.38,4020.9,11948,7819,2003,7.06
4.71,4020.9,11948,7819,2003,8.22
4.54,4020.9,11948,7819,3936,7.18
4.71,4020.9,11948,7819,3936,7.65
4.82,4020.9,11948,7819,3936,7.7
4.52,4020.9,11948,7819,3936,7.31
5.22,4020.9,11948,7819,3936,7.76
4.5,4020.9,11948,7819,3936,7.04
4.31,4020.9,11948,7819,3936,6.37
5.53,4020.9,11948,7819,3936,9.8
4.57,4020.9,11948,7819,3936,8.79
4.55,4020.9,11948,7819,3936,7.93
5.85,4020.9,11948,7819,3936,10.29
5.7,6336.5,9155,16215,3936,10.72
5.02,6336.5,9155,16215,3936,9.22
5.1,6336.5,9155,16215,3936,9.02
4.71,6336.5,9155,16215,3936,8.14
5,6336.5,9155,16215,3936,8.15
4.14,6336.5,9155,16215,3936,6.73
4.73,6336.5,9155,16215,3936,8.88
4.98,6336.5,9155,16215,3936,9.65
4.84,6336.5,9155,16215,3936,8.87
4.92,6336.5,9155,16215,3936,8.71
4.78,6336.5,9155,16215,3936,8.87
4.82,6336.5,9155,16215,3936,8.53
6.74,6336.5,9155,16215,3936,13.35
8.63,6336.5,9155,16215,3936,15.48
9.35,6336.5,9155,16215,3936,16.39
6.34,9797.6,8394,15569,3936,17.1
7.74,9797.6,8394,15569,3936,18.38
1.75,9797.6,8394,15569,3936,15.57
