S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
254,0,0,0,0.66,0,0,1.23,0.25,0.7,0,1.01,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,5.39
255,0,0,0.65,0,0,0,0.23,1.44,0.56,0,0.37,0.62,0,0.96,0.6,0,0,0,0,0,0,0,0.645,0,6.57
256,0,0.6,0,1.22,0.15,0,0,0.6,0,0,0.1,0.63,0,0,0,0,0,0,0.22,0,0,0,0.455,0,6.29
257,0,0,0,0,0,0,0,0,0,0.69,0.8,0.7,0,0.564,0,0,0,0,0,0,0,0,0,0,1.65
258,0,0,0.85,0,0,0,0,0.56,0,0,0,0,0,0,0.66,0,0,0,0.23,0,0.66,0,0,0,5.09
259,0,0.25,0,0.96,0,0,0,0.16,0,0.3733,0,0,0,0,0.12,0,0,0,0,0,0,0,0.85,0,2.99
260,0,0,0,0.41,0,0,0,0.6256,0.561,0,0,0.16,0,0,0.26,0,0,0,0,0,0,0,0,0,2.91
261,0,0,0,0.52,0,0,0.42,0,0,0,0.6,0,0.15,0,0.33,0,0.05,0,0,0,0,0.15,0,0,3.28
262,0,0,0,0,0.45,0,0,0.33,0,0.23,0.583,0.1,0,0.23,0.48,0,0,0,0,0.23,0,0,0,0,2.81
263,0,0,0,0,0,0.85,0,1.241,0,0,0,0.731,0,0.63,0,0,0,0,0,0,0,0,0,0,2.83
264,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01
265,0,0,0,0,0.15,0,0.056,0.36,0.33,0,0.36,0,0.15,0,0,0,0,0,0,0,0,0,0,0,2.66
266,0,0,0,0,0,0,1.01,0,0.15,0.81,0.33,0,0,0,0.25,0,0,0,0,0,0,0,0,0,2.38
267,0,0,0,0,0,0.4,0,0.62,0.26,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1.79
268,0,0.41,0,0,0,0,1.17,0,0.3,0,1.387,0,0,0.15,0,0,0,0,0,0,0,0,0,0,3.51
269,0,0,0.52,0,0.15,0,0,0,0,0,0,0,0,0.15,0.32,0,0,0,0,0,0,0,0,0,2.78
270,0,0,0,0,0,0,0,0.1251,0.66,0,0.36,0,0,0.67,0,0,0,0,0,0,0,0,0,0,2.77
271,0,0,0,0.5,0.6,0.18,0,0,0.6,0,0.6521,0,0,0,0.63,0,0,0,0,0,0,0,0,0,2.75
272,0,0,0,0,0.25,0.36,0.15,1.18,0,0.15,0,0,0.233,0.18,0.11,0,0,0,0,0,0,0,0,0,2.59
273,0,0,0,0.15,0.63,0.21,0.15,0,0,0,0.1,0,0,0,0.33,0,0,0,0,0,0,0,0,0,1.25
274,0,0.36,0,0,0,0,0,1.2956,0.89,0,0.15,0,0,0.11,0.15,0.01,0,0,0,0.3,0,0,0,0,3.84
275,0,0,0,0,0,0.36,0,0,1.47,0,0.11,0,0.63,0,0,0.05,0,0,0.05,0,0,0,0,0,3.85
276,0,0,0.33,0.15,0,0.23,0.63,0,0.62,0.32,0,0.57,0,0,0,0,0,0,0,0.01,0,0,0,0,4.5
277,0.9,0.6,0,0,0,0,0.41,1.51,0,0,0.652,0.3,0.32,0,0.12,0,0,0,0,0,0.01,0,0,0,4.7
278,0,0,0.15,0,0,0.36,0.51,0,0.3,0.32,0,0.15,0.32,0.48,0,0,0.01,0,0,0.3,0,0.015,0.15,0,4.66
279,0,0,0.18,0,0.15,0,0,0,0,0.15,0.33,0.15,0,0,0.36,0,0,0,0,0,0,0,0.15,0,4.6
280,0,0.23,0.36,0,0,0,0,0.5,0,0.36,0.8,0,0,0,0,0,0,0,0,0,0,0.8,0,0,5.84
281,0,0,0.12,0,0,0,0.85,0.23,0,0,0.38,0.62,0,0,0,0,0.04,0,0,0,0,0,0,0,5.81
282,0,0,0,0,0.63,0,0.52,0,0,0.415,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,6.65
