ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
0.88,0.0,0.525,2.235,0.011,0.022,0.61,0.0,0.0,0.0,0.0,0.436,0.0,6.223
0.145,0.0,0.61,1.57,0.0,0.011,0.0,0.164,0.0,0.0,0.0,0.927,0.0,4.258
0.0,0.17,0.905,1.068,0.0,0.0,0.0,0.0,0.0,0.349,0.0,0.73,0.0,3.998
0.015,0.0,1.286,2.093,0.0,0.086,0.148,0.0,0.0,0.164,0.0,0.109,0.709,7.895
0.0,0.0,1.985,0.927,0.132,0.0,0.0,0.327,0.545,0.349,0.0,0.164,0.164,6.223
0.0,0.0,1.21,0.71,0.121,0.162,1.16,0.0,0.172,0.164,0.0,0.894,0.567,9.633
0.0,0.294,1.591,0.981,0.033,0.0,0.0,0.0,0.491,0.0,0.0,1.341,0.0,2.68
0.23,0.294,3.379,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.654,0.436,0.283,3.254
0.0,0.0,0.0,2.333,0.726,0.0,0.0,0.719,0.0,0.327,0.0,0.85,0.134,6.256
0.0,0.0,1.071,0.807,0.0,0.0,1.0,0.0,0.0,1.145,0.0,0.763,0.131,3.244
0.0,0.565,0.392,0.654,0.0,0.0,0.0,0.654,0.0,0.0,0.0,1.395,0.785,3.54
0.0,0.17,0.436,0.0,0.0,0.0,0.05,1.45,0.0,0.0,0.0,1.319,0.0,2.88
0.26,0.0,0.763,0.661,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.658
0.73,0.0,1.978,0.072,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.525,0.065,2.548
0.56,0.0,0.158,0.0,0.0,0.0,0.632,0.861,0.0,0.523,0.0,0.181,0.24,2.744
0.0,0.0,0.311,0.545,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.065,2.741
0.0,1.119,1.155,0.807,0.0,0.0,0.5,0.654,0.0,0.545,0.0,0.0,0.436,2.658
0.0,0.633,1.7,0.834,0.0,0.0,0.05,1.363,0.0,0.0,0.164,0.349,0.0,2.051
0.0,0.0,0.785,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.349,0.109,0.0,3.256
0.0,0.0,0.273,0.709,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,3.221
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.654,0.0,0.0,0.0,0.534,0.0,3.26
0.0,0.0,0.567,0.0,0.055,0.0,0.0,0.0,0.0,0.218,0.0,0.573,0.229,2.55
0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.382,0.011,0.0,0.0,2.158
